PRODUCTO,COLOR CALIDO,COLOR FRIO,BISUTERIA,BOLSOS,MIYUKI,TECNICA TEJIDO A MANO,CROCHET,MACRAMÉ,CESTERIA,CRISTAL JAPONES,ORO,PITA,FIQUE,ALGODÓN ORGANICO,ANILLA DE LATAS DE SODA,PERLAS,MOSTACILLA,PAJA TETERA,IRACA,FIBRA DE PLATANO,HILO ACRILICO,MAS DE $15.000,MAS DE $100.000,MAS DE $400.000,ENLACE
Bolso Daffodil,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-daffodil/
Bolso Atma,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-atma/
Bolso Eseral,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-eseral/
Bolso Etre,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,https://shaktimodaconsciente.com/producto/bolso-etre/
Bolso Lummier,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-lummier/
Bolso Ser,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,https://shaktimodaconsciente.com/producto/bolso-ser/
Bolso Nibali,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-nibali/
Bolso Amador,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-amador/
Bolso Essere,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-essere/
Bolso Sein,5,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,https://shaktimodaconsciente.com/producto/bolso-sein/
Pulsera 3l - 10,3,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,https://amitaijoyeria.com/tienda/tejidos/pulseras/3-lineas/pulsera-3l-10/
Pulsera 15l - 12,5,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,https://amitaijoyeria.com/tienda/tejidos/pulseras/pulseras-15-lineas-pulseras/pulsera-15l-12/
Pulsera 3l - 39,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,https://amitaijoyeria.com/tienda/tejidos/pulseras/3-lineas/pulsera-3l-39/
Pulsera 3l - 40,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,https://amitaijoyeria.com/tienda/tejidos/pulseras/3-lineas/pulsera-3l-40/
Pulsera 1l - 11,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,https://amitaijoyeria.com/tienda/tejidos/pulseras/pulseras-1-linea/pulsera-1l-11/
Mochila en espiral crudo- azul,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,https://www.artesaniasdecolombiatienda.com.co/mochila-en-espiral-crudo-azul-91-11-108-02/p
Mochila casta ipuana vinotinto,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,https://www.artesaniasdecolombiatienda.com.co/mochila-casta-ipuana-vinotinto-91-11-097-02/p
Mochila piña en fique café y crudo,5,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,https://www.artesaniasdecolombiatienda.com.co/mochila-pina-en-fique-cafe-y-crudo-91-11-105-02/p
Mochila en Crochet Lowa,5,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,https://www.artesaniasdecolombiatienda.com.co/mochila-en-crochet-lowa-11-03-595-b-lowa-beige/p
Bolso Cuatro Tetas,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,https://www.artesaniasdecolombiatienda.com.co/bolso-cuatro-tetas-11-02-005-c-minicesta-asa/p
Mochila en Crochet Nigeria,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,https://www.artesaniasdecolombiatienda.com.co/mochila-en-crochet-nigeria-11-03-595-b-nigeria-beige-amarillo/p
Mochila en Crochet Daliah,5,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,https://www.artesaniasdecolombiatienda.com.co/mochila-en-crochet-daliah-11-03-595-b-daliah-beige/p
Mochila jigra en pita tricolor,3,5,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,https://www.artesaniasdecolombiatienda.com.co/mochila-jigra-en-pita-tricolor-91-11-100-08/p
Bolso de Mercado en Palma de Iraca,3,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,https://www.artesaniasdecolombiatienda.com.co/bolso-de-mercado-en-palma-de-iraca-02-04-941-v/p
Bolso Tula,5,,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,https://www.artesaniasdecolombiatienda.com.co/bolsa-tula-91-02-017-09/p
Pulsera Multicolor Perla,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/pulsera-multicolor-perla/
Anillo Muranos Jade ,0,5,0,0,0,5,0,0,0,0,4,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/anillo-muranos-jade/
Pulsera 7 chakras bolita,5,5,4,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/pulsera-7-chakras-bolita/
Candongas Picos Miyuki,5,3,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/candongas-picos-miyuki-multicolor/
Topos Rombo Miyuki Multicolor,5,3,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/topos-rombo-miyuki-multicolor/
Tobillera Flower Power Multicolor,3,3,5,0,0,5,0,0,0,0,3,0,0,0,0,5,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/tobillera-flower-power-multicolor/
Dúo Pulseras Letras Personalizadas,5,5,5,0,0,5,0,5,0,0,1,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/?s=D%C3%BAo+Pulseras+Letras+Personalizadas&post_type=product&page=search
Collar Estrella y Caballito de mar,5,3,3,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/collar-estrella-y-caballito-de-mar/
Candongas Corazón Miyuki Multicolor,3,4,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/?s=Candongas+Coraz%C3%B3n+Miyuki+Multicolor&post_type=product&page=search
Aretes Tigre Miyuki,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,https://carolinasalazar.com/?s=Aretes+Tigre+Miyuki&post_type=product&page=search
Aretes 7 Chakras Miyuki,5,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/?s=Aretes+7+chakras+miyuki&post_type=product&page=search
Aretes Triángulo Pasteles Miyuki,2,5,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-triangulo-pasteles-miyuki/
Cadena Rosa Miyuki,5,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/cadena-rosa-miyuki/
Aretes Disco Verde Menta,2,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-marta-verde-menta/
Maxitopos Amapolas Miyuki Palo de rosa,4,3,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,https://carolinasalazar.com/producto/maxitopos-amapolas-miyuki-palo-de-rosa/
Aretes Largos Hexágonos Arcoiris,5,2,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-largos-hexagonos-arcoiris/
Maxiaretes Mariposas Miyuki Multicolor ,5,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,https://carolinasalazar.com/producto/maxiaretes-mariposas-miyuki-multicolor/
Topos Corazón Rojos Miyuki,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/topos-corazon-rojos-miyuki/
Aretes Hexágonos Rainbow,5,3,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-hexagonos-rainbow/
Anillo Fiesta Miyuki Rojo,5,3,5,0,0,5,0,0,0,5,5,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/anillo-fiesta-miyuki-rojo/
Aretes largos ojos hexágonos multicolor,5,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-largos-ojos-hexagonos-multicolor/
Maxiaretes corazones RAINBOW palito largo,5,2,5,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/maxiaretes-corazones-rainbow-palito-largo/
Aretes Donut Tutti Frutti,5,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-donut-tutti-frutti/
Aretes Mandalas Dona Multicolor ,5,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-mandalas-dona-multicolor/
Aretes Amina Azules,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,https://carolinasalazar.com/producto/aretes-amina-azules/

